,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
61050,tt1703958,Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu,2012,17-02-12,"Comedy, Drama, Romance",110,India,Hindi,Shakun Batra,"Shakun Batra, Ayesha DeVitre",Dharma Productions,"Kareena Kapoor, Imran Khan, Ram Kapoor, Boman Irani, Ratna Pathak Shah, Zenobia Shroff, Anju Mahendru, Mukul Chadda, Akshat Verma, Manasi Scott, Rajesh Khattar, Bosco Martis, Soniya Mehra, Deepti Datt, Ayesha DeVitre",A few drinks too many leads an uptight architect and quick-witted hairstylist to marry in Las Vegas. Can a mistake lead to friendship and love?,5.7,6304,,$ 1155545,$ 2293823,,31,30
61060,tt1704680,A Decent Arrangement,A Decent Arrangement,2011,07-11-14,"Comedy, Drama",96,"USA, India",English,Sarovar Banka,Sarovar Banka,Secret Pact Productions,"Shabana Azmi, Diksha Basu, Adhir Bhat, Adam Laupus, Lethia Nall, Shriya Sharma","A Decent Arrangement is the story of Ashok Khosla, an Indian-American copywriter, who travels to India for an arranged marriage. After he encounters an American woman traveling through ...",5.7,223,,,,,4,1
61076,tt1706470,Weekender,Weekender,2011,02-09-11,"Drama, Music",90,UK,English,Karl Golden,Chris Coghill,Benchmark Films,"Jack O'Connell, Zawe Ashton, Stephen Wight, Henry Lloyd-Hughes, Ben Batt, Dean Andrews, Sam Hazeldine, Emily Barclay, Perry Fitzpatrick, Richard Riddell, Carmen Muga, Tom Meeten, Iain McKee, Lara Goodison, Fergus O'Donnell","The rave scene has arrived from Ibiza and warehouse parties are exploding across the UK bringing phenomenal wealth to the organizers. In Manchester, best mates Matt and Dylan are in their early 20's and long to be more than just punters.",5.6,1739,,,$ 6327,35,20,11
61027,tt1702425,Casa de mi Padre,Casa de mi Padre,2012,11-05-12,"Comedy, Western",84,"USA, Mexico","Spanish, English",Matt Piedmont,"Andrew Steele, Eva Maria Peters",NALA Films,"Will Ferrell, Diego Luna, Pedro Armendáriz Jr., Genesis Rodriguez, Efren Ramirez, Adrian Martinez, Gael García Bernal, Manuel Urrego, Nick Offerman, Jerry Collins, Luis Carazo, Sandra Echeverría, Elijah Velarde, Alejandro Patiño, Eduardo Ricard","Scheming on a way to save their father's ranch, the Alvarez brothers find themselves in a war with Mexico's most feared drug lord.",5.5,20039,$ 6000000,$ 5909483,$ 8446952,52,76,137
61084,tt1707380,Ritorno alla vita,Every Thing Will Be Fine,2015,24-09-15,Drama,118,"Germany, Canada, France, Sweden, Norway",English,Wim Wenders,Bjørn Olaf Johannessen,Neue Road Movies,"James Franco, Peter Miller, Gilbert Wahiakeron, Claude Chamberlain, Rachel McAdams, Jack Fulton, Charlotte Gainsbourg, Céline Bonnier, Mary Katherine Harvey, Patrick Bauchau, Peter Stormare, Marie-Josée Croze, Jessy Gagnon, Lilah Fitzgerald, Philippe Vanasse-Paquet","One day, driving aimlessly around the outskirts of town after a trivial domestic quarrel, a writer named Tomas accidentally hits and kills a child. Will he be able to move on?",5.4,5804,$ 12000000,$ 9233,$ 554953,32,31,120
61000,tt1699755,Peeples,Peeples,2013,10-05-13,"Comedy, Romance",95,USA,English,Tina Gordon,Tina Gordon,34th Street Films,"Craig Robinson, Kerry Washington, David Alan Grier, S. Epatha Merkerson, Tyler James Williams, Melvin Van Peebles, Diahann Carroll, Kali Hawk, Kimrie Lewis, Malcolm Barrett, Ana Gasteyer, Briana Marin, Angelee Areu, Tuffy Questell, Jerome Preston Bates",Sparks fly when Wade Walker crashes the Peeples annual reunion in the Hamptons to ask for their precious daughter Grace's hand in marriage.,5.3,4608,$ 15000000,$ 9177065,$ 9307166,52,32,41
61066,tt1705134,State of Emergency,State of Emergency,2011,05-10-11,"Horror, Sci-Fi, Thriller",90,USA,English,Turner Clay,Turner Clay,Clay Bros. Motion Pictures,"Jay Hayden, Tori White, Scott Lilly, Kathryn Todd Norman, McKenna Jones, Loren Albanese, Andy Stahl, Clay Burke, Dan Collett, Chris Earley, Philip Carson, Gist Heinrich, Bret Hopkins, Eddie Napier, James Hendrix","Chaos consumes a small town when a chemical facility explodes releasing a deadly toxin. Moments after the leak, the town's residents show signs of mutation, causing the military to ...",5.3,2824,$ 1300000,,,,57,31
61088,tt1707392,Lovely Molly,Lovely Molly,2011,29-06-12,"Drama, Horror",100,USA,English,Eduardo Sánchez,"Jamie Nash, Eduardo Sánchez",Amber Entertainment,"Gretchen Lodge, Johnny Lewis, Alexandra Holden, Field Blauvelt, Ken Arnold, Tara Garwood, Camilla Zaidee Bennett, Kevin Murray, Doug Roberts, Dan Manning, Daniel Ross, Brandon Thane Wilson, Bus Howard, Josh Jones, Bethany Hoffman","Newlywed Molly moves into her deceased father's house in the countryside, where painful memories soon begin to haunt her.",5.3,9179,$ 1000000,$ 18464,$ 638274,50,95,99
61045,tt1703919,Pulsar,Pulsar,2010,19-01-11,"Drama, Mystery, Romance",91,Belgium,"Flemish, French, English, Dutch",Alex Stockman,Alex Stockman,Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,"Matthias Schoenaerts, Tine Van den Wyngaert, Andrea Bardos, Leah Chanmugam, Liesje De Backer, Jessica De Baere, Josse De Pauw, Sien Eggers, Korneel Hamers, Vincent Lecuyer, Jeff Otte, Stefan Perceval, Marit Stocker, Nico Sturm, Renee Sys","Samuel works in Brussels as a pharmaceutical delivery man. His gorgeous girlfriend Mireille heads off to New York to intern at a prestigious architecture firm. Shortly after her departure, ...",5.2,444,,,$ 29825,,2,13
61052,tt1704142,Der Atem des Himmels,Der Atem des Himmels,2010,03-09-10,"Drama, History, Romance",128,Austria,German,Reinhold Bilgeri,Reinhold Bilgeri,Bilgeri Films Production,"Beatrix Bilgeri, Jaron Löwenberg, Gerd Böckmann, Krista Stadler, Ernst Konarek, Erwin Leder, Lena Reichmuth, Julia Gschnitzer, Laura Bilgeri, Eric Judor, Eisi Gulp, Michael-Joachim Heiss, Marianne Pardeller, Martin Maria Abram, Birgit Melcher",The story is based on the worst avalanche catastrophe that ever took place in the Alps.,5.1,106,,,$ 620346,,3,
